PERMNO,date,TICKER,COMNAM,PRIMEXCH,DIVAMT,PRC,VOL,BID,ASK,OPENPRC,NUMTRD,vwretd,ewretd,sprtrn
10107,2013/07/01,MSFT,MICROSOFT CORP,Q,,34.36000,30892975,34.36000,34.37000,34.75000,108483,0.006723,0.009141,0.005404
10107,2013/07/02,MSFT,MICROSOFT CORP,Q,,33.94000,37210707,33.94000,33.95000,34.41000,132563,-0.001398,-0.002919,-0.000545
10107,2013/07/03,MSFT,MICROSOFT CORP,Q,,34.01000,15811611,34.00000,34.01000,33.66000,64535,0.000414,-0.000100,0.000824
10107,2013/07/05,MSFT,MICROSOFT CORP,Q,,34.21000,25756720,34.19000,34.20000,34.09000,102713,0.009011,0.005947,0.010202
10107,2013/07/08,MSFT,MICROSOFT CORP,Q,,34.32500,32149591,34.32000,34.33000,34.35000,102277,0.005169,0.003698,0.005252
10107,2013/07/09,MSFT,MICROSOFT CORP,Q,,34.35000,25021985,34.35000,34.37000,34.58000,88759,0.007717,0.005760,0.007230
10107,2013/07/10,MSFT,MICROSOFT CORP,Q,,34.70000,29504880,34.68000,34.69000,34.34000,107019,0.000645,0.002770,0.000182
10107,2013/07/11,MSFT,MICROSOFT CORP,Q,,35.68500,53323697,35.68000,35.69000,35.00000,156053,0.014622,0.012997,0.013554
10107,2013/07/12,MSFT,MICROSOFT CORP,Q,,35.67000,35135153,35.72000,35.73000,35.58000,113364,0.002474,0.001028,0.003087
10107,2013/07/15,MSFT,MICROSOFT CORP,Q,,36.17000,33891923,36.18000,36.19000,35.66000,109265,0.002322,0.005546,0.001375
10107,2013/07/16,MSFT,MICROSOFT CORP,Q,,36.27000,35975743,36.25000,36.26000,36.01000,121465,-0.003774,-0.001546,-0.003709
10107,2013/07/17,MSFT,MICROSOFT CORP,Q,,35.74000,36958779,35.73000,35.74000,36.34000,123526,0.002995,0.003696,0.002774
10107,2013/07/18,MSFT,MICROSOFT CORP,Q,,35.44000,49160469,35.43000,35.44000,35.72000,166464,0.005448,0.004970,0.005033
10107,2013/07/19,MSFT,MICROSOFT CORP,Q,,31.40000,246000240,31.39000,31.40000,32.40000,625759,0.001479,0.000552,0.001610
10107,2013/07/22,MSFT,MICROSOFT CORP,Q,,32.01000,78495313,31.99000,32.00000,31.70000,186695,0.002798,0.004195,0.002033
10107,2013/07/23,MSFT,MICROSOFT CORP,Q,,31.82000,65263990,31.83000,31.84000,31.91000,162950,-0.001168,0.002073,-0.001852
10107,2013/07/24,MSFT,MICROSOFT CORP,Q,,31.96000,52333247,31.97000,31.98000,32.03500,139013,-0.004916,-0.005985,-0.003811
10107,2013/07/25,MSFT,MICROSOFT CORP,Q,,31.39000,62847592,31.38000,31.39000,31.62000,157980,0.003963,0.005521,0.002556
10107,2013/07/26,MSFT,MICROSOFT CORP,Q,,31.62000,39756015,31.61000,31.62000,31.26000,114181,0.000145,-0.001511,0.000828
10107,2013/07/29,MSFT,MICROSOFT CORP,Q,,31.54000,29116468,31.55000,31.56000,31.47000,95798,-0.003738,-0.003816,-0.003736
10107,2013/07/30,MSFT,MICROSOFT CORP,Q,,31.85000,45429491,31.86000,31.87000,31.78000,142750,0.000411,0.000284,0.000374
10107,2013/07/31,MSFT,MICROSOFT CORP,Q,,31.84000,43564160,31.83000,31.84000,31.97000,137876,0.000197,0.001750,-0.000136
10107,2013/08/01,MSFT,MICROSOFT CORP,Q,,31.67000,42208520,31.68000,31.69000,32.06000,130647,0.012242,0.009356,0.012541
10107,2013/08/02,MSFT,MICROSOFT CORP,Q,,31.89000,28938474,31.89000,31.90000,31.69000,96436,0.001335,0.000912,0.001640
10107,2013/08/05,MSFT,MICROSOFT CORP,Q,,31.70000,30853788,31.68000,31.69000,31.90000,96019,-0.000731,0.001899,-0.001480
10107,2013/08/06,MSFT,MICROSOFT CORP,Q,,31.58000,36077017,31.57000,31.58000,31.55000,99321,-0.006568,-0.006180,-0.005723
10107,2013/08/07,MSFT,MICROSOFT CORP,Q,,32.06300,37651649,32.06000,32.07000,31.54000,128924,-0.004525,-0.005628,-0.003806
10107,2013/08/08,MSFT,MICROSOFT CORP,Q,,32.89000,58489260,32.89000,32.90000,32.24000,200017,0.005439,0.005406,0.003885
10107,2013/08/09,MSFT,MICROSOFT CORP,Q,,32.70000,26648167,32.70000,32.71000,32.77000,101051,-0.001917,-0.000247,-0.003570
10107,2013/08/12,MSFT,MICROSOFT CORP,Q,,32.87000,25329093,32.88000,32.89000,32.46000,90922,-0.000143,0.002700,-0.001153
10107,2013/08/13,MSFT,MICROSOFT CORP,Q,0.23000,32.23000,39154809,32.22000,32.23000,32.51000,126242,0.001505,-0.000915,0.002776
